ID_RUC|DPTO|PROV|DISTRITO|SEXO|CARGO_ENCUESTADO|ACT_ECO|ANIO|ESTADO_EMPRESA|VAR_VENTA|PCT_VAR_VENTA|MODAL_VENTA|PCT_TRAB_LABO|MODAL_TRAB|TIENE_PROB_FINANC|TIEMPO_RECUPERARSE|SUSP_PERFECTA
00000002632|LIMA|LIMA|SAN LUIS|1.0|Contador/a|Fabricación de otros productos textiles n.c.p.|1997.0|Parcialmente operativa|Disminuyó|60.0|Solo a traves de delivery|Hasta 20%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000009839|CALLAO|CALLAO|CALLAO|2.0|Otro|Fundición de metales no ferrosos|1963.0|Parcialmente operativa|Disminuyó|40.0|Presencial y delivery|De 41 a 60%|Trabajo mixto|0.0|De 19 a 24 meses|0.0
00000009844|CALLAO|CALLAO|CALLAO|2.0|Contador/a|Actividades de servicios vinculadas al transporte aéreo|1943.0|Parcialmente operativa|Disminuyó|87.0|Por otra modalidad|De 41 a 60%|Trabajo mixto|0.0|Más de 24 meses|0.0
00000009873|CALLAO|CALLAO|CARMEN DE LA LEGUA REYNOSO|2.0|Contador/a|Fabricación de muebles|1965.0|Parcialmente operativa|Disminuyó|50.0|Presencial y delivery|De 21 a 40%|Trabajo mixto|0.0|De 13 a 18 meses|0.0
00000009876|CALLAO|CALLAO|CALLAO|2.0|Contador/a|Fundición de metales no ferrosos|1974.0|Parcialmente operativa|Disminuyó|20.0|Solo a traves de delivery|De 41 a 60%|Trabajo mixto|0.0|En menos de 6 meses|0.0
00000009877|LIMA|LIMA|ATE|1.0|Otro|Transporte de carga por carretera|1980.0|Parcialmente operativa|Disminuyó|70.0|Solo de forma presencial|Hasta 20%|Solo trabajo presencial|1.0|En menos de 6 meses|1.0
00000009887|LIMA|LIMA|LIMA|1.0|Otro|Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico|1975.0|Operativa|Se mantiene||Solo de forma presencial|De 81 a 100%|Trabajo mixto|0.0|No se vio afectada|0.0
00000009890|CALLAO|CALLAO|CALLAO|1.0|Otro|Fabricación de partes, piezas y accesorios para vehículos automotores|1957.0|Operativa|Disminuyó|90.0|Presencial y delivery|Hasta 20%|Trabajo mixto|0.0|De 19 a 24 meses|1.0
00000009892|LIMA|LIMA|LIMA|2.0|Otro|Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica|1954.0|Parcialmente operativa|NO REALIO VENTAS|||Hasta 20%|Solo trabajo remoto|0.0|De 6 a 12 meses|1.0
00000009914|LIMA|LIMA|SAN JUAN DE MIRAFLORES|2.0|Contador/a|Generación, transmisión y distribución de energía eléctrica|1972.0|Operativa|Disminuyó|10.0|Por otra modalidad|De 81 a 100%|Trabajo mixto|0.0|En menos de 6 meses|0.0
00000009926|LIMA|LIMA|LIMA|2.0|Contador/a|Venta al por mayor no especializada|1986.0|Parcialmente operativa|Disminuyó|30.0|Por otra modalidad|De 21 a 40%|Solo trabajo presencial|0.0|De 6 a 12 meses|0.0
00000009934|LIMA|LIMA|LIMA|2.0|Otro|Elaboración de cacao y chocolate y de productos de confitería|1963.0|Operativa|Disminuyó|10.0|Solo de forma presencial|De 61 a 80%|Trabajo mixto|0.0|En menos de 6 meses|0.0
00000009939|LIMA|LIMA|LIMA|2.0|Contador/a|Forja, prensado, estampado y laminado de metales; pulvimetalurgia|1950.0|Parcialmente operativa|Disminuyó|80.0|Solo online|De 61 a 80%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000009944|LIMA|LIMA|SANTIAGO DE SURCO|2.0|Otro|Procesamiento de datos, hospedaje y actividades conexas|1976.0|Operativa|Disminuyó|14.0|Presencial y delivery|De 81 a 100%|Solo trabajo remoto|0.0|De 13 a 18 meses|0.0
00000009945|CALLAO|CALLAO|CALLAO|1.0|Contador/a|Transporte de carga por carretera|1939.0|Operativa|Disminuyó|29.0|Solo online|De 81 a 100%|Trabajo mixto|0.0|De 13 a 18 meses|0.0
00000009948|LIMA|LIMA|SAN ISIDRO|2.0|Contador/a|Transporte de pasajeros por vía aérea|1963.0|Parcialmente operativa|Disminuyó|90.0|Presencial y delivery|De 61 a 80%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000009957|LIMA|LIMA|SAN ISIDRO|2.0|Contador/a|Construcción de carreteras y vías de ferrocarril|1986.0|Parcialmente operativa|Disminuyó|80.0|Por otra modalidad|De 21 a 40%|Trabajo mixto|1.0|De 13 a 18 meses|0.0
00000009987|LIMA|LIMA|LIMA|2.0|Contador/a|Actividades de hospitales|1959.0|Parcialmente operativa|Disminuyó|28.0|Solo online|De 41 a 60%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000009989|LIMA|LIMA|LA VICTORIA|1.0|Contador/a|Transporte urbano y suburbano de pasajeros por vía terrestre|1980.0|Inoperativa||||||||
00000009990|CALLAO|CALLAO|CARMEN DE LA LEGUA REYNOSO|1.0|Contador/a|Elaboración de aceites y grasas de origen vegetal y animal|1956.0|Operativa|Se mantiene||Solo online|De 61 a 80%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000010023|LIMA|LIMA|ATE|1.0|Gerente/a general|Elaboración y conservación de carne|1972.0|Operativa|Disminuyó|39.0|Solo online|De 81 a 100%|Trabajo mixto|0.0|De 19 a 24 meses|0.0
00000010028|LIMA|LIMA|LURIN|2.0|Otro|Venta de vehículos automotores|1966.0|Parcialmente operativa|Disminuyó|60.0|Solo online|De 21 a 40%|Trabajo mixto|0.0|De 13 a 18 meses|0.0
00000010031|LIMA|LIMA|SAN BORJA|1.0|Contador/a|Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco|1979.0|Operativa|Aumentó|10.0|Solo online|De 61 a 80%|Solo trabajo remoto|0.0|No se vio afectada|0.0
00000010037|LIMA|LIMA|EL AGUSTINO|1.0|Contador/a|Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas|1932.0|Parcialmente operativa|Disminuyó|20.0|Solo a traves de delivery|De 21 a 40%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000010043|LIMA|LIMA|CHORRILLOS|1.0|Contador/a|Actividades de seguridad privada|1985.0|Operativa|Disminuyó|19.0|Solo de forma presencial|De 61 a 80%|Trabajo mixto|0.0|En menos de 6 meses|0.0
00000010049|LIMA|LIMA|LA VICTORIA|2.0|Contador/a|Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica|1949.0|Operativa|Disminuyó|50.0|Presencial y delivery|De 61 a 80%|Solo trabajo remoto|0.0|De 6 a 12 meses|0.0
00000010059|LIMA|LIMA|SAN ISIDRO|2.0|Otro|Otras actividades especializadas de construcción|1967.0|Parcialmente operativa|Disminuyó|50.0|Presencial y delivery|De 21 a 40%|Trabajo mixto|0.0|De 6 a 12 meses|1.0
00000010075|LIMA|LIMA|LA VICTORIA|2.0|Otro|Venta al por mayor no especializada|1939.0|Operativa|Disminuyó|11.0|Solo online|De 81 a 100%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000010092|LIMA|LIMA|LINCE|2.0|Otro|Venta al por mayor de productos textiles, prendas de vestir y calzado|1982.0|Parcialmente operativa|NO REALIO VENTAS|||Hasta 20%|Solo trabajo remoto|0.0|De 6 a 12 meses|1.0
00000010098|LIMA|LIMA|SAN ISIDRO|1.0|Administrador/a|Fabricación de otros productos químicos n.c.p.|1962.0|Operativa|Disminuyó|20.0|Solo online|De 61 a 80%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000010106|LIMA|LIMA|ATE|1.0|Otro|Elaboración de productos lácteos|1910.0|Operativa|Se mantiene||Solo de forma presencial|De 21 a 40%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000010129|LIMA|LIMA|SAN ISIDRO|2.0|Otro|Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador|1981.0|Parcialmente operativa|Disminuyó|70.0|Presencial y delivery|De 61 a 80%|Trabajo mixto|0.0|De 6 a 12 meses|1.0
00000010132|LIMA|LIMA|INDEPENDENCIA|2.0|Contador/a|Fundición de metales no ferrosos|1975.0|Parcialmente operativa|Disminuyó|59.0|Solo online|De 41 a 60%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000010135|LIMA|LIMA|MIRAFLORES|2.0|Contador/a|Actividades de operadores turísticos|1974.0|Parcialmente operativa|Disminuyó|100.0|Presencial y delivery|Hasta 20%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000010147|LIMA|LIMA|SANTIAGO DE SURCO|2.0|Contador/a|Fabricación de otros productos químicos n.c.p.|1951.0|Operativa|Disminuyó|40.0|Solo de forma presencial|Hasta 20%|Trabajo mixto|1.0|De 13 a 18 meses|1.0
00000010150|LIMA|LIMA|ATE|2.0|Contador/a|Elaboración de bebidas malteadas y de malta|1955.0|Parcialmente operativa|Disminuyó|39.0|Solo online|Hasta 20%|Trabajo mixto|0.0|De 13 a 18 meses|0.0
00000010152|LIMA|LIMA|LIMA|1.0|Contador/a|Ensayos y análisis técnicos|1986.0|Parcialmente operativa|Disminuyó|30.0|Presencial y delivery|De 21 a 40%|Trabajo mixto|0.0|De 13 a 18 meses|0.0
00000010153|LIMA|LIMA|SAN ISIDRO|1.0|Contador/a|Programación y transmisiones de televisión|1980.0|Operativa|Disminuyó|50.0|Presencial y delivery|De 41 a 60%|Trabajo mixto|1.0|De 19 a 24 meses|0.0
00000010155|LIMA|LIMA|SAN ISIDRO|1.0|Contador/a|Otras actividades de servicios de apoyo a las empresas n.c.p.|1964.0|Parcialmente operativa|Disminuyó|70.0|Presencial y delivery|De 61 a 80%|Trabajo mixto|0.0|De 19 a 24 meses|1.0
00000010157|LIMA|LIMA|SAN ISIDRO|2.0|Otro|Otras actividades de servicios de apoyo a las empresas n.c.p.|1967.0|Parcialmente operativa|Disminuyó|75.0|Presencial y delivery|De 61 a 80%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000010205|LIMA|LIMA|SAN ISIDRO|2.0|Contador/a|Venta de vehículos automotores|1967.0|Parcialmente operativa|Disminuyó|83.0|Por otra modalidad|De 61 a 80%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000010223|LIMA|LIMA|VILLA MARIA DEL TRIUNFO|2.0|Otro|Fabricación de cemento, cal y yeso|1967.0|Operativa|Disminuyó|68.0|Solo de forma presencial|De 81 a 100%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000010230|LIMA|LIMA|SAN MIGUEL|1.0|Gerente/a general|Venta al por mayor no especializada|1974.0|Parcialmente operativa|Disminuyó|78.0|Solo online|De 21 a 40%|Trabajo mixto|0.0|De 6 a 12 meses|1.0
00000010242|LIMA|LIMA|SANTIAGO DE SURCO|1.0|Otro|Actividades de seguridad privada|1981.0|Operativa|Disminuyó|20.0|Presencial y delivery|De 21 a 40%|Trabajo mixto|0.0|De 13 a 18 meses|0.0
00000010251|LIMA|LIMA|EL AGUSTINO|2.0|Contador/a|Captación, tratamiento y distribución de agua|1981.0|Parcialmente operativa|Se mantiene||Por otra modalidad|De 21 a 40%|Trabajo mixto|0.0|De 13 a 18 meses|0.0
00000010255|LIMA|LIMA|MIRAFLORES|2.0|Otro|Extracción de petróleo crudo|1985.0|Operativa|Disminuyó|53.0|Solo de forma presencial|De 81 a 100%|Trabajo mixto|0.0|En menos de 6 meses|0.0
00000010259|LIMA|LIMA|SURQUILLO|2.0|Contador/a|Elaboración y conservación de carne|1977.0|Operativa|Disminuyó|33.0|Solo online|De 81 a 100%|Trabajo mixto|1.0|De 19 a 24 meses|0.0
00000010268|LIMA|LIMA|JESUS MARIA|2.0|Contador/a|Venta al por mayor de otros tipos de maquinaria y equipo|1957.0|Operativa|Se mantiene||Por otra modalidad|De 21 a 40%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000010273|LIMA|LIMA|JESUS MARIA|2.0|Contador/a|Programación y transmisiones de televisión|1983.0|Operativa|Disminuyó|50.0|Presencial y delivery|De 81 a 100%|Trabajo mixto|0.0|De 19 a 24 meses|0.0
00000010274|LIMA|LIMA|LIMA|2.0|Otro|Elaboración de otros productos alimenticios n.c.p.|1920.0|Operativa|Disminuyó|16.0|Presencial y delivery|De 21 a 40%|Trabajo mixto|0.0|De 13 a 18 meses|0.0
00000010296|LIMA|LIMA|SAN JUAN DE LURIGANCHO|1.0|Otro|Fabricación de productos metálicos para uso estructural|1973.0|Parcialmente operativa|NO REALIO VENTAS|||De 41 a 60%|Trabajo mixto|0.0|De 13 a 18 meses|0.0
00000010297|LIMA|LIMA|MIRAFLORES|1.0|Administrador/a|Venta al por mayor de otros tipos de maquinaria y equipo|1983.0|Operativa|Disminuyó|9.0|Por otra modalidad|De 61 a 80%|Trabajo mixto|0.0|En menos de 6 meses|1.0
00000010302|LIMA|LIMA|LURIN|2.0|Contador/a|Fabricación de productos de plástico|1962.0|Operativa|Disminuyó|13.0|Presencial y delivery|De 61 a 80%|Trabajo mixto|0.0|En menos de 6 meses|0.0
00000010304|LIMA|LIMA|SAN BORJA|1.0|Otro|Venta al por mayor de combustibles sólidos, líquidos y gaseosos y productos conexos|1946.0|Operativa|Disminuyó|40.0|Por otra modalidad|De 61 a 80%|Trabajo mixto|0.0|De 19 a 24 meses|0.0
00000010315|LIMA|LIMA|LOS OLIVOS|2.0|Otro|Fabricación de plaguicidas y otros productos químicos de uso agropecuario|1963.0|Operativa|Disminuyó|40.0|Solo de forma presencial|De 41 a 60%|Trabajo mixto|0.0|De 13 a 18 meses|0.0
00000010318|LIMA|LIMA|JESUS MARIA|1.0|Contador/a|Almacenamiento y depósito|1989.0|Operativa|Se mantiene||Solo online|De 61 a 80%|Trabajo mixto|0.0|De 13 a 18 meses|0.0
00000010432|LIMA|LIMA|LIMA|2.0|Contador/a|Fabricación de sustancias químicas básicas|1993.0|Parcialmente operativa|Disminuyó|25.0|Por otra modalidad|De 21 a 40%|Trabajo mixto|0.0|De 19 a 24 meses|0.0
00000010505|LIMA|LIMA|ATE|2.0|Gerente/a general|Fabricación de sustancias químicas básicas|1975.0|Operativa|Disminuyó|22.0|Solo a traves de delivery|De 61 a 80%|Trabajo mixto|0.0|De 6 a 12 meses|0.0
00000010525|LIMA|LIMA|ATE|1.0|Otro|Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción|1989.0|Parcialmente operativa|Disminuyó|70.0|Solo online|De 21 a 40%|Trabajo mixto|1.0|De 6 a 12 meses|0.0
